iter	Passed	Remaining
0	218	437103
1	258	258164
2	296	197300
3	333	166629
4	371	148281
5	409	136003
6	449	127985
7	492	122657
8	532	117900
9	575	114577
10	616	111433
11	658	109087
12	700	107074
13	742	105365
14	780	103288
15	818	101442
16	857	100074
17	901	99261
18	951	99240
19	993	98335
20	1032	97304
21	1074	96600
22	1114	95809
23	1157	95280
24	1199	94768
25	1239	94114
26	1278	93404
27	1321	93059
28	1360	92439
29	1402	92098
30	1448	91993
31	1494	91881
32	1540	91794
33	1587	91799
34	1636	91904
35	1685	91978
36	1735	92090
37	1785	92182
38	1823	91713
39	1864	91377
40	1905	91032
41	1953	91073
42	1996	90886
43	2041	90743
44	2079	90340
45	2117	89960
46	2163	89889
47	2202	89574
48	2246	89466
49	2291	89372
50	2335	89256
51	2378	89097
52	2415	88748
53	2459	88634
54	2495	88261
55	2534	87981
56	2573	87724
57	2614	87545
58	2657	87433
59	2700	87314
60	2743	87204
61	2785	87056
62	2828	86967
63	2869	86796
64	2913	86738
65	2961	86790
66	3005	86724
67	3047	86577
68	3085	86346
69	3129	86295
70	3172	86181
71	3208	85923
72	3248	85759
73	3292	85700
74	3334	85585
75	3376	85478
76	3418	85365
77	3458	85210
78	3503	85189
79	3549	85188
80	3593	85140
81	3637	85089
82	3684	85090
83	3724	84951
84	3766	84850
85	3809	84792
86	3848	84619
87	3886	84450
88	3926	84308
89	3968	84218
90	4012	84174
91	4049	83989
92	4091	83890
93	4131	83765
94	4172	83672
95	4218	83671
96	4258	83538
97	4299	83451
98	4340	83355
99	4379	83205
100	4419	83102
101	4464	83070
102	4505	82986
103	4543	82839
104	4583	82725
105	4620	82563
106	4661	82464
107	4699	82328
108	4745	82328
109	4785	82227
110	4826	82134
111	4865	82024
112	4905	81911
113	4945	81813
114	4994	81869
115	5034	81772
116	5072	81637
117	5113	81557
118	5153	81463
119	5193	81358
120	5231	81232
121	5267	81083
122	5308	81010
123	5346	80881
124	5387	80811
125	5427	80719
126	5466	80613
127	5503	80494
128	5541	80368
129	5579	80264
130	5619	80168
131	5659	80086
132	5697	79984
133	5735	79871
134	5774	79776
135	5817	79734
136	5857	79654
137	5899	79600
138	5940	79534
139	5980	79460
140	6024	79434
141	6067	79394
142	6105	79291
143	6147	79232
144	6192	79224
145	6235	79184
146	6274	79098
147	6317	79048
148	6356	78967
149	6395	78878
150	6434	78795
151	6476	78746
152	6517	78676
153	6558	78612
154	6594	78498
155	6633	78414
156	6675	78361
157	6712	78259
158	6752	78185
159	6793	78126
160	6829	78007
161	6869	77937
162	6910	77880
163	6951	77827
164	6989	77732
165	7028	77649
166	7067	77571
167	7106	77495
168	7148	77447
169	7190	77399
170	7229	77321
171	7271	77279
172	7308	77182
173	7345	77087
174	7384	77013
175	7428	76986
176	7468	76917
177	7509	76863
178	7546	76772
179	7583	76679
180	7623	76609
181	7660	76516
182	7700	76455
183	7741	76405
184	7778	76308
185	7815	76218
186	7855	76158
187	7893	76081
188	7934	76026
189	7975	75976
190	8017	75933
191	8057	75870
192	8094	75782
193	8132	75704
194	8170	75628
195	8219	75652
196	8261	75608
197	8300	75542
198	8342	75504
199	8383	75451
200	8425	75405
201	8463	75336
202	8500	75249
203	8540	75193
204	8579	75121
205	8619	75063
206	8656	74979
207	8696	74920
208	8735	74858
209	8773	74784
210	8811	74705
211	8848	74631
212	8888	74573
213	8926	74501
214	8964	74423
215	9004	74371
216	9052	74383
217	9094	74338
218	9131	74257
219	9171	74208
220	9209	74136
221	9248	74068
222	9288	74020
223	9329	73973
224	9371	73930
225	9412	73881
226	9453	73835
227	9491	73769
228	9531	73715
229	9571	73657
230	9612	73612
231	9651	73552
232	9691	73495
233	9731	73446
234	9772	73395
235	9811	73335
236	9850	73278
237	9889	73213
238	9929	73159
239	9968	73100
240	10007	73041
241	10054	73038
242	10095	72993
243	10134	72932
244	10174	72883
245	10213	72825
246	10261	72826
247	10301	72777
248	10343	72734
249	10380	72663
250	10422	72623
251	10461	72567
252	10502	72518
253	10539	72445
254	10578	72388
255	10616	72327
256	10656	72276
257	10695	72215
258	10735	72163
259	10775	72110
260	10816	72066
261	10856	72020
262	10898	71978
263	10935	71911
264	10973	71846
265	11012	71790
266	11052	71738
267	11097	71720
268	11138	71672
269	11177	71615
270	11216	71560
271	11257	71519
272	11298	71475
273	11339	71433
274	11379	71380
275	11417	71317
276	11458	71275
277	11500	71238
278	11547	71228
279	11587	71181
280	11624	71111
281	11665	71066
282	11703	71008
283	11740	70940
284	11781	70895
285	11818	70828
286	11855	70764
287	11892	70692
288	11929	70626
289	11969	70576
290	12009	70529
291	12055	70518
292	12101	70500
293	12142	70458
294	12180	70400
295	12219	70346
296	12263	70318
297	12301	70257
